               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.044873,            0.031246,                   0,             0.79971,                 0.8,             0.74992,             0.36771,            0.051075,            0.017493,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.046149,            0.027155,                   0,             0.79971,                 0.8,             0.74992,             0.36771,            0.051075,            0.017493,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.049971,            0.028853,                   0,             0.79988,             0.79946,             0.79611,             0.31596,            0.049655,            0.017178,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.046186,            0.027696,                   0,             0.79988,             0.79946,             0.79611,             0.31596,            0.049655,            0.017178,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.041955,             0.01704,                   0,             0.79988,             0.79946,             0.79611,             0.31596,            0.049655,            0.017178,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.049039,            0.022499,                   0,             0.71306,                 0.5,              0.5398,             0.12231,            0.060629,            0.016542,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.061062,            0.029478,                   0,             0.71306,                 0.5,              0.5398,             0.12231,            0.060629,            0.016542,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.060032,            0.019732,                   0,             0.71306,                 0.5,              0.5398,             0.12231,            0.060629,            0.016542,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.059904,            0.019738,                   0,             0.71306,                 0.5,              0.5398,             0.12231,            0.060629,            0.016542,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.060182,            0.020051,                   0,             0.66413,                 0.4,             0.46345,             0.11597,            0.062097,            0.016348,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.057748,            0.017477,                   0,             0.66413,                 0.4,             0.46345,             0.11597,            0.062097,            0.016348,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.064705,            0.022792,                   0,             0.66413,                 0.4,             0.46345,             0.11597,            0.062097,            0.016348,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.054306,            0.024297,                   0,             0.85533,                 0.6,             0.68776,             0.17097,            0.055076,            0.016676,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.050704,            0.022857,                   0,             0.85533,                 0.6,             0.68776,             0.17097,            0.055076,            0.016676,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.053696,            0.026378,                   0,             0.85533,                 0.6,             0.68776,             0.17097,            0.055076,            0.016676,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.052716,            0.026067,                   0,                   1,             0.79895,             0.83246,             0.21287,            0.051237,            0.016707,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.043734,            0.019183,                   0,                   1,             0.79895,             0.83246,             0.21287,            0.051237,            0.016707,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.047886,            0.024064,                   0,                   1,             0.79895,             0.83246,             0.21287,            0.051237,            0.016707,                   0,            0.005512,            0.005512,            0.005512
                 138,             0.04767,             0.02053,                   0,             0.79882,                 0.8,             0.80483,             0.35564,            0.046736,            0.016839,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.040667,            0.017778,                   0,             0.79882,                 0.8,             0.80483,             0.35564,            0.046736,            0.016839,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.045475,            0.024616,                   0,             0.79882,                 0.8,             0.80483,             0.35564,            0.046736,            0.016839,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.043308,            0.024046,                   0,             0.79873,                 0.8,             0.79027,             0.33568,            0.046539,            0.016405,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.045336,            0.026215,                   0,             0.79873,                 0.8,             0.79027,             0.33568,            0.046539,            0.016405,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.042814,            0.016658,                   0,             0.79873,                 0.8,             0.79027,             0.33568,            0.046539,            0.016405,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.043832,            0.023901,                   0,             0.79873,                 0.8,             0.79027,             0.33568,            0.046539,            0.016405,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.043839,            0.025764,                   0,             0.99924,                 0.7,             0.81813,             0.36076,             0.04555,            0.016379,                   0,            0.005248,            0.005248,            0.005248
                 146,             0.04458,            0.026404,                   0,             0.99924,                 0.7,             0.81813,             0.36076,             0.04555,            0.016379,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.045875,            0.028594,                   0,             0.99924,                 0.7,             0.81813,             0.36076,             0.04555,            0.016379,                   0,            0.005182,            0.005182,            0.005182
                 148,             0.04296,            0.023896,                   0,             0.87387,                 0.7,             0.73287,             0.27101,            0.047035,            0.016128,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.041905,            0.024645,                   0,             0.87387,                 0.7,             0.73287,             0.27101,            0.047035,            0.016128,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.042973,            0.023734,                   0,             0.87387,                 0.7,             0.73287,             0.27101,            0.047035,            0.016128,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.042372,            0.022962,                   0,              0.7998,                 0.8,             0.73662,              0.2522,            0.045343,            0.016089,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.047288,            0.021922,                   0,              0.7998,                 0.8,             0.73662,              0.2522,            0.045343,            0.016089,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.045096,            0.019438,                   0,              0.7998,                 0.8,             0.73662,              0.2522,            0.045343,            0.016089,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.048184,            0.020268,                   0,              0.5712,                 0.8,             0.61656,             0.18708,            0.059508,            0.015348,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.053046,            0.021439,                   0,              0.5712,                 0.8,             0.61656,             0.18708,            0.059508,            0.015348,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.053987,            0.021879,                   0,              0.5712,                 0.8,             0.61656,             0.18708,            0.059508,            0.015348,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.049505,            0.019683,                   0,              0.7775,                 0.7,             0.79038,             0.37514,            0.044648,            0.016124,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.046004,              0.0207,                   0,              0.7775,                 0.7,             0.79038,             0.37514,            0.044648,            0.016124,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.050265,             0.01841,                   0,              0.7775,                 0.7,             0.79038,             0.37514,            0.044648,            0.016124,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.045678,             0.02131,                   0,              0.7775,                 0.7,             0.79038,             0.37514,            0.044648,            0.016124,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.045248,            0.024145,                   0,             0.79958,             0.79812,             0.80541,             0.44127,            0.044403,            0.016343,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.049025,            0.019089,                   0,             0.79958,             0.79812,             0.80541,             0.44127,            0.044403,            0.016343,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.049856,            0.022601,                   0,             0.79958,             0.79812,             0.80541,             0.44127,            0.044403,            0.016343,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.042335,            0.022598,                   0,             0.88849,                 0.8,             0.80481,             0.29042,            0.045107,            0.016221,                   0,            0.004621,            0.004621,            0.004621
                 165,             0.03882,            0.018418,                   0,             0.88849,                 0.8,             0.80481,             0.29042,            0.045107,            0.016221,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.036324,            0.016027,                   0,             0.88849,                 0.8,             0.80481,             0.29042,            0.045107,            0.016221,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.042661,            0.025308,                   0,             0.99986,                 0.8,             0.83652,             0.31272,             0.04582,            0.016204,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.041218,            0.023821,                   0,             0.99986,                 0.8,             0.83652,             0.31272,             0.04582,            0.016204,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.040475,            0.025445,                   0,             0.99986,                 0.8,             0.83652,             0.31272,             0.04582,            0.016204,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.040189,            0.029812,                   0,              0.7999,                 0.8,             0.76216,             0.36206,            0.043443,            0.016033,                   0,            0.004423,            0.004423,            0.004423
